Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
32,tt0415908,2012-12-21,2012-12-21,,Kaal,https://www.imdb.com/title/tt0415908/,movie,4.6,126,2005,"Adventure, Horror, Mystery, Sci-Fi, Thriller",4847,2005-04-29,Soham Shah,,
33,tt0451850,2012-12-21,2012-12-21,,Paheli,https://www.imdb.com/title/tt0451850/,movie,6.5,140,2005,"Comedy, Drama, Fantasy, Musical, Romance",12385,2005-06-22,Amol Palekar,,
34,tt0449999,2012-12-21,2012-12-21,,Kabhi Alvida Naa Kehna,https://www.imdb.com/title/tt0449999/,movie,6.1,193,2006,"Drama, Romance",18064,2006-08-11,Karan Johar,10,2006-05-22
35,tt0857381,2012-12-21,2012-12-21,,I See You,https://www.imdb.com/title/tt0857381/,movie,4.1,122,2006,"Comedy, Drama, Fantasy, Romance",1104,2006-12-29,Vivek b Agrawal,,
36,tt0871510,2012-12-21,2012-12-21,,Chak De! India,https://www.imdb.com/title/tt0871510/,movie,8.2,153,2007,"Drama, Family, Sport",73053,2007-08-10,Shimit Amin,10,2007-11-13
37,tt1024943,2012-12-21,2012-12-21,,Om Shanti Om,https://www.imdb.com/title/tt1024943/,movie,6.7,162,2007,"Action, Comedy, Drama, Musical, Romance, Thriller",38395,2007-11-07,Farah Khan,10,2007-11-13
38,tt0991346,2012-12-21,2012-12-21,,Bhoothnath,https://www.imdb.com/title/tt0991346/,movie,6.3,150,2008,"Comedy, Drama, Family, Fantasy",7947,2008-05-09,Vivek Sharma,,
39,tt1105733,2012-12-21,2012-12-21,,Kismat Konnection,https://www.imdb.com/title/tt1105733/,movie,5.2,153,2008,"Comedy, Drama, Romance",5187,2008-07-18,Aziz Mirza,,
40,tt1182937,2012-12-21,2012-12-21,,Rab Ne Bana Di Jodi,https://www.imdb.com/title/tt1182937/,movie,7.2,167,2008,"Comedy, Drama, Music, Romance",43275,2008-12-11,Aditya Chopra,,
41,tt1230448,2012-12-21,2012-12-21,,Billu,https://www.imdb.com/title/tt1230448/,movie,6.2,137,2009,"Comedy, Drama",10527,2009-02-12,Priyadarshan,,
42,tt1182884,2012-12-21,2012-12-21,,Dulha Mil Gaya,https://www.imdb.com/title/tt1182884/,movie,4.2,152,2010,"Comedy, Drama, Romance",2426,2010-01-08,Mudassar Aziz,,
43,tt1188996,2012-12-21,2012-12-21,,My Name Is Khan,https://www.imdb.com/title/tt1188996/,movie,8.0,165,2010,Drama,97436,2010-02-11,Karan Johar,,
44,tt1562871,2012-12-21,2012-12-21,,Ra.One,https://www.imdb.com/title/tt1562871/,movie,4.7,156,2011,"Action, Adventure, Sci-Fi",37809,2011-10-24,Anubhav Sinha,,
45,tt1285241,2012-12-21,2012-12-21,,Don 2,https://www.imdb.com/title/tt1285241/,movie,7.1,148,2011,"Action, Crime, Thriller",48959,2011-12-22,Farhan Akhtar,10,2019-08-03
46,tt2176013,2012-12-21,2012-12-21,,Jab Tak Hai Jaan,https://www.imdb.com/title/tt2176013/,movie,6.7,198,2012,"Drama, Romance",50751,2012-11-13,Yash Chopra,10,2012-11-16
47,tt0255305,2012-12-24,2012-12-24,,Khiladi 420,https://www.imdb.com/title/tt0255305/,movie,5.3,157,2000,"Action, Romance, Thriller",1699,2000-12-29,Neeraj Vora,,
48,tt0278291,2012-12-24,2012-12-24,,Ajnabee,https://www.imdb.com/title/tt0278291/,movie,6.4,165,2001,"Action, Crime, Drama, Mystery, Thriller",7942,2001-09-21,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",,
49,tt0319020,2012-12-24,2012-12-24,,Awara Paagal Deewana,https://www.imdb.com/title/tt0319020/,movie,6.2,158,2002,"Action, Comedy, Crime, Drama, Thriller",7462,2002-06-20,Vikram Bhatt,,
50,tt0347332,2012-12-24,2012-12-24,,Khakee,https://www.imdb.com/title/tt0347332/,movie,7.4,174,2004,"Action, Crime, Drama, Thriller",14857,2004-01-23,Rajkumar Santoshi,,
