Title, Studio, Country code, Release date, Date added, Watched, Retailer,,,
The Last Samurai,Warner Bros.,US,November 14 2006,4-Jan,2013,,,,
Legend,Universal Studios,US,May 31 2011,29-May,2016,FYE,,,
Let's Be Cops,20th Century Fox,US,November 11 2014,13-Jan,2015,,,,
Life of Pi,20th Century Fox,US,March 12 2013,25-Nov,2017,Best Buy,,,
Like a Boss,Paramount Pictures,US,April 21 2020,10-Apr,2020,,,,
Limitless,20th Century Fox,US,July 19 2011,29-Nov,2013,,,,
Lion,Starz / Anchor Bay,US,April 11 2017,25-Nov,2017,Best Buy,,,
The Lion King,Disney / Buena Vista,US,October 4 2011,4-Oct,2011,,,,
The Lion King 4K,Disney / Buena Vista,US,October 22 2019,16-Oct,2019,,,,
The Lion King 4K,Disney / Buena Vista,US,December 4 2018,14-Jan,2019,Best Buy,,,
The Little Mermaid 4K,Disney / Buena Vista,US,February 26 2019,20-Feb,2019,,,,
Little Women,Sony Pictures,US,April 7 2020,24-Mar,2020,,,,
Logan,20th Century Fox,US,May 23 2017,23-May,2017,Target,,,
Logan 4K,20th Century Fox,US,August 15 2017,9-Oct,2018,eBay,,,
Logan Lucky 4K,Universal Studios,US,November 28 2017,3-Dec,2017,Best Buy,,,
Long Shot,Lionsgate Films,US,July 30 2019,16-Jul,2019,,,,
Looper,Sony Pictures,US,December 31 2012,1-Dec,2017,eBay,,,
MacGruber,Universal Studios,US,September 7 2010,4-Jan,2013,,,,
Mad Max: Fury Road,Warner Bros.,US,September 1 2015,1-Sep,2015,,,,
The Magnificent Seven,Sony Pictures,US,December 20 2016,25-Nov,2017,Best Buy,,,
The Magnificent Seven 4K,Sony Pictures,US,December 20 2016,9-Oct,2018,eBay,,,
Magnolia,Warner Bros.,US,January 19 2010,27-Aug,2015,,,,
Man of Steel,Warner Bros.,US,November 12 2013,12-Nov,2013,,,,
Manchester by the Sea,Lionsgate Films,US,February 21 2017,30-Nov,2017,Amazon,,,
The Martian,20th Century Fox,US,January 12 2016,12-Jan,2016,,,,
The Martian 4K,20th Century Fox,US,June 7 2016,7-Jun,2016,Best Buy,,,
The Matrix,Warner Bros.,US,May 22 2012,25-Nov,2017,Best Buy,,,
Me and Earl and the Dying Girl,20th Century Fox,US,October 6 2015,15-Dec,2015,Best Buy,,,
Me Before You,Warner Bros.,US,August 30 2016,25-Nov,2017,eBay,,,
Mean Girls,Warner Bros.,US,January 1 2013,26-Sep,2016,eBay,,,
Men in Black Trilogy,Sony Pictures,US,October 19 2015,26-Sep,2016,Amazon,,,
Men in Black: International,Sony Pictures,US,September 3 2019,27-Aug,2019,,,,
Mighty Morphin Power Rangers: The Movie,Shout Factory,US,June 4 2019,4-Jun,2019,Amazon,,,
Mile 22,Universal Studios,US,November 13 2018,16-Nov,2018,,,,
Mission: Impossible - 6 Movie Collection,Paramount Pictures,US,December 4 2018,29-May,2019,,,,
Mission: Impossible - 6-Movie Collection 4K,Paramount Pictures,US,December 4 2018,20-Dec,2018,,,,
Mission: Impossible - Extreme Trilogy Collection,Paramount Pictures,US,December 6 2011,30-Nov,2014,,,,
Mission: Impossible - Fallout,Paramount Pictures,US,December 4 2018,19-Nov,2018,,,,
Mission: Impossible - Fallout 4K,Paramount Pictures,US,December 4 2018,19-Nov,2018,,,,
Mission: Impossible - Fallout 4K,Paramount Pictures,US,December 4 2018,9-Dec,2018,Best Buy,,,
Mission: Impossible - Ghost Protocol,Paramount Pictures,US,April 17 2012,17-Apr,2012,Best Buy,,,
Mission: Impossible - Ghost Protocol 4K,Paramount Pictures,US,June 26 2018,15-Jun,2018,,,,
Mission: Impossible - Rogue Nation,Paramount Pictures,US,December 15 2015,15-Dec,2015,Best Buy,,,
Mission: Impossible - Rogue Nation,Paramount Pictures,US,December 15 2015,15-Dec,2015,Target,,,
Mission: Impossible - Rogue Nation 4K,Paramount Pictures,US,June 26 2018,15-Jun,2018,,,,
Mission: Impossible 4K,Paramount Pictures,US,June 26 2018,15-Jun,2018,,,,
Mission: Impossible II 4K,Paramount Pictures,US,June 26 2018,15-Jun,2018,,,,
Mission: Impossible III 4K,Paramount Pictures,US,June 26 2018,15-Jun,2018,,,,
Mohabbatein,Yash Raj Films,IN,October 9 2010,9-Sep,2015,,,,
Monsters vs. Aliens,DreamWorks,US,September 29 2009,4-Jan,2014,,,,
Most Wanted,Paramount Pictures,US,September 22 2020,10-Sep,2020,,,,
Mr. & Mrs. Smith,20th Century Fox,US,January 6 2015,2-Dec,2017,Best Buy,,,
The Mummy,Universal Studios,US,September 12 2017,12-Sep,2017,Target,,,
The Mummy 4K,Universal Studios,US,September 12 2017,9-Oct,2018,eBay,,,
The Mummy Trilogy,Universal Studios,US,August 30 2011,31-Dec,2015,Amazon,,,
Never Let Me Go,20th Century Fox,US,February 1 2011,30-Nov,2017,eBay,,,
The New Mutants 4K,Disney / Buena Vista,US,November 17 2020,17-Nov,2020,Best Buy,,,
The Nice Guys,Warner Bros.,US,August 23 2016,23-Aug,2016,Best Buy,,,
Night Hunter,Paramount Pictures,US,October 15 2019,7-Oct,2019,,,,
Nightcrawler,Universal Studios,US,February 10 2015,6-Dec,2017,eBay,,,
No Country for Old Men,Lionsgate Films,US,May 3 2011,19-Jul,2013,,,,
Nocturnal Animals,Universal Studios,US,February 21 2017,2-Dec,2017,eBay,,,
The Notebook,Warner Bros.,US,May 4 2010,26-Nov,2017,Best Buy,,,
"O Brother, Where Art Thou?",Disney / Buena Vista,US,September 13 2011,1-Dec,2015,,,,
Oblivion,Universal Studios,US,August 6 2013,10-Aug,2013,,,,
Oblivion 4K,Universal Studios,US,August 9 2016,6-Oct,2018,eBay,,,
Ocean's 8 4K,Warner Bros.,US,September 11 2018,22-Nov,2018,Best Buy,,,
Ocean's: The Complete Collection,Warner Bros.,UK,June 15 2009,28-Mar,2016,eBay,,,
Old School,Paramount Pictures,US,December 16 2008,15-Aug,2015,,,,
Om Shanti Om,Eros,US,May 6 2008,7-Oct,2015,,,,
Once Upon a Deadpool,20th Century Fox,US,January 15 2019,14-Jan,2019,,,,
Once Upon a Time in Hollywood,Sony Pictures,US,December 10 2019,11-Dec,2019,,,,
Orphan Black: The Complete Series,BBC,US,October 31 2017,1-Dec,2017,Amazon,,,
The Other Guys,Sony Pictures,US,December 14 2010,14-Dec,2010,,,,
Out of the Furnace,20th Century Fox,US,March 11 2014,23-Jul,2019,Amazon,,,
The Outsiders: The Complete Novel,Warner Bros.,US,June 3 2014,26-Nov,2017,Wal-Mart,,,
Overlord 4K,Paramount Pictures,US,February 19 2019,29-Jan,2019,,,,
Parasite,Universal Studios,US,January 28 2020,29-Jan,2020,,,,
Patriots Day,Lionsgate Films,US,March 28 2017,28-Mar,2017,Target,,,
Paul,Universal Studios,US,August 9 2011,29-Nov,2013,,,,
The Peanut Butter Falcon,Lionsgate Films,US,November 12 2019,5-Nov,2019,,,,
Pet Sematary 4K,Paramount Pictures,US,July 9 2019,25-Jun,2019,,,,
Pineapple Express,Sony Pictures,US,January 6 2009,23-Sep,2015,,,,
Pirates of the Caribbean Trilogy,Disney / Buena Vista,US,September 16 2008,25-Aug,2015,,,,
Pirates of the Caribbean: Dead Men Tell No Tales 4K,Disney / Buena Vista,US,October 3 2017,2-Oct,2017,Best Buy,,,
Pirates of the Caribbean: On Stranger Tides,Disney / Buena Vista,US,October 18 2011,18-Oct,2011,,,,
Point Break,Warner Bros.,US,June 14 2011,1-Dec,2017,eBay,,,
Pokémon: Detective Pikachu 4K,Warner Bros.,US,August 6 2019,29-Nov,2019,Best Buy,,,
Popstar: Never Stop Never Stopping,Universal Studios,US,September 13 2016,25-Nov,2016,Amazon,,,
Power Rangers,Lionsgate Films,US,June 27 2017,26-Jun,2017,,,,
Power Rangers 4K,Lionsgate Films,US,June 27 2017,9-Oct,2018,eBay,,,
Predator 4K,20th Century Fox,US,August 7 2018,30-Aug,2018,,,,
The Predator 4K,20th Century Fox,US,December 18 2018,17-Dec,2018,,,,
The Prestige,Disney / Buena Vista,US,February 20 2007,4-Jan,2014,,,,
Prince of Persia: The Sands of Time,Disney / Buena Vista,US,September 14 2010,14-Sep,2010,,,,
Prisoners,Warner Bros.,US,December 17 2013,1-Dec,2017,eBay,,,
The Proposal,Disney / Buena Vista,US,October 13 2009,8-Jun,2018,FYE,,,
Public Enemies,Universal Studios,US,June 28 2011,28-Jun,2011,,,,
Pulp Fiction,Lionsgate Films,US,October 4 2011,12-Oct,2012,,,,
Quantum of Solace,Metro-Goldwyn-Mayer,US,March 24 2009,12-Nov,2018,FYE,,,
A Quiet Place,Paramount Pictures,US,July 10 2018,22-Jul,2018,Best Buy,,,
A Quiet Place 4K,Paramount Pictures,US,July 10 2018,29-Oct,2019,,,,
Ra.One,Eros,IN,January 18 2012,5-Jun,2016,Amazon,,,
Rab Ne Bana Di Jodi,Yash Raj Films,IN,December 14 2009,30-Sep,2015,,,,
Raees,Excel,IN,April 25 2017,2-Jun,2017,Amazon,,,
Raging Bull,Metro-Goldwyn-Mayer,US,May 5 2015,27-Oct,2019,,,,
Rain Man,Metro-Goldwyn-Mayer,US,February 15 2011,23-Nov,2012,,,,
Ralph Breaks the Internet 4K,Disney / Buena Vista,US,February 26 2019,15-Feb,2019,,,,
Rambo: The Complete SteelBook Collection 4K,Lionsgate Films,US,October 27 2020,1-Nov,2020,,,,
Ready or Not,20th Century Fox,US,December 3 2019,5-Dec,2019,,,,
Ready Player One 4K,Warner Bros.,US,July 24 2018,24-Jul,2018,Best Buy,,,
Remember the Titans,Disney / Buena Vista,US,March 29 2011,23-Jul,2019,Amazon,,,
The Replacements,Warner Bros.,US,January 27 2015,16-Mar,2016,Amazon,,,
Resident Evil: The Complete Collection 4K,Sony Pictures,US,November 17 2020,17-Nov,2020,,,,
The Rhythm Section,Paramount Pictures,US,April 28 2020,15-Apr,2020,,,,
Risky Business,Warner Bros.,US,September 16 2008,4-Jan,2013,,,,
Rogue One: A Star Wars Story 3D,Disney / Buena Vista,US,April 4 2017,4-Apr,2017,Best Buy,,,
Role Models,Universal Studios,US,March 10 2009,23-Jul,2015,,,,
Rounders,Lionsgate Films,US,August 23 2011,26-Sep,2016,eBay,,,
Rush,Universal Studios,US,January 28 2014,8-Jun,2018,FYE,,,
Rush Hour,Warner Bros.,US,December 7 2010,28-Mar,2016,eBay,,,
Rush Hour 3,New Line Cinema,US,December 23 2007,28-Mar,2016,eBay,,,
Rush Hour Trilogy,Warner Bros.,US,November 8 2016,3-Jan,2017,Best Buy,,,
S.W.A.T.,Sony Pictures,US,September 19 2006,8-Jun,2018,FYE,,,
Safety Not Guaranteed,Sony Pictures,US,October 30 2012,15-Aug,2015,,,,
Salt,Sony Pictures,US,December 21 2010,2-Dec,2017,eBay,,,
The Sandlot,20th Century Fox,US,March 22 2011,1-Nov,2016,Amazon,,,
Saving Private Ryan,Paramount Pictures,US,January 18 2015,8-Jun,2018,FYE,,,
Saving Private Ryan 4K,Paramount Pictures,US,May 8 2018,29-May,2019,,,,
Scooby-Doo 1 & 2 Collection,Warner Bros.,US,November 9 2010,30-Nov,2017,Amazon,,,
Scott Pilgrim vs. the World,Universal Studios,US,November 9 2010,29-Nov,2017,Amazon,,,
Scream 4,Starz / Anchor Bay,US,November 22 2011,4-Jan,2014,,,,
Scream: 5-Film Set,Lionsgate Films,US,September 6 2011,4-Jan,2014,,,,
Scrubs: The Complete Eighth Season,Disney / Buena Vista,US,November 17 2009,17-Nov,2009,,,,
The Secret Life of Walter Mitty,20th Century Fox,US,April 15 2014,15-Apr,2014,,,,
Serenity,Universal Studios,US,June 25 2013,4-Aug,2019,Amazon,,,
Seven,Warner Bros.,US,April 26 2011,4-Jan,2014,,,,
Seven Psychopaths,Sony Pictures,US,January 29 2013,17-Jun,2016,eBay,,,
Shazam! 4K,Warner Bros.,US,July 16 2019,13-Jul,2019,Best Buy,,,
Sherlock Holmes,Warner Bros.,US,March 30 2010,30-Mar,2010,,,,
Sherlock Holmes: A Game of Shadows,Warner Bros.,US,June 12 2012,12-Jun,2012,,,,
Shutter Island,Paramount Pictures,US,June 8 2010,1-Dec,2017,eBay,,,
Sicario,Lionsgate Films,US,January 5 2016,25-Mar,2016,Amazon,,,
Sicario: Day of the Soldado 4K,Sony Pictures,US,October 2 2018,1-Oct,2018,Best Buy,,,
Signs / The Sixth Sense / Unbreakable,Disney / Buena Vista,UK,December 3 2008,20-Jan,2018,Amazon,,,
Silver Linings Playbook,Starz / Anchor Bay,US,April 30 2013,28-Mar,2017,Target,,,
The Simpsons Movie,20th Century Fox,US,December 18 2007,7-Dec,2014,,,,
Sin City & Sin City: A Dame to Kill For,Entertainment One Films Canada Inc.,CA,November 18 2014,8-Jun,2018,FYE,,,
Sisters,Universal Studios,US,March 15 2016,26-Sep,2016,eBay,,,
Skyfall,Metro-Goldwyn-Mayer,US,February 12 2013,12-Feb,2013,,,,
Sleepy Hollow,Warner Bros.,US,January 1 2013,26-Sep,2016,Amazon,,,
Slumdog Millionaire,20th Century Fox,US,March 31 2009,14-Jun,2013,,,,
Smallville: The Complete Eighth Season,Warner Bros.,US,August 25 2009,20-Apr,2017,Amazon,,,
Smallville: The Complete Ninth Season,Warner Bros.,US,September 7 2010,20-Apr,2017,Amazon,,,
Smallville: The Complete Seventh Season,Warner Bros.,US,September 9 2008,27-Nov,2016,eBay,,,
Smallville: The Final Season,Warner Bros.,US,November 29 2011,29-Nov,2011,,,,
Snakes on a Plane,Warner Bros.,US,September 29 2009,16-Mar,2016,Amazon,,,
Snowpiercer,Starz / Anchor Bay,US,October 21 2014,26-Aug,2015,,,,
Solo: A Star Wars Story 4K,Disney / Buena Vista,US,September 25 2018,25-Sep,2018,Best Buy,,,
Sonic the Hedgehog 4K,Paramount Pictures,US,May 19 2020,8-May,2020,,,,
Sorry to Bother You,20th Century Fox,US,October 23 2018,22-Oct,2018,,,,
Source Code,Summit Entertainment,US,July 26 2011,22-Aug,2015,,,,
Southpaw,Starz / Anchor Bay,US,October 27 2015,25-Nov,2017,Best Buy,,,
Space Jam,Warner Bros.,US,October 4 2011,28-Aug,2012,,,,
Spectre,Metro-Goldwyn-Mayer,US,February 9 2016,8-Jun,2018,,,,
Speed,20th Century Fox,US,November 14 2006,9-Oct,2015,,,,
Spider-Man,Sony Pictures,US,June 12 2012,12-Jun,2012,Best Buy,,,
Spider-Man,Sony Pictures,US,May 14 2013,29-Nov,2015,Amazon,,,
Spider-Man 2,Sony Pictures,US,June 12 2012,12-Jun,2012,Best Buy,,,
Spider-Man 2,Sony Pictures,US,July 16 2013,29-Nov,2015,Amazon,,,
Spider-Man 3,Sony Pictures,US,October 30 2007,30-Oct,2007,,,,
Spider-Man 3,Sony Pictures,US,April 22 2014,29-Nov,2015,Amazon,,,
Spider-Man Legacy Collection 4K,Sony Pictures,US,October 17 2017,26-Nov,2017,Best Buy,,,
Spider-Man: Far from Home 4K,Sony Pictures,US,October 1 2019,25-Sep,2019,,,,
Spider-Man: Far from Home 4K,Sony Pictures,US,October 1 2019,30-Sep,2019,Best Buy,,,
Spider-Man: Homecoming 4K,Sony Pictures,US,October 17 2017,16-Oct,2017,Best Buy,,,
Spider-Man: Into the Spider-Verse,Sony Pictures,US,March 19 2019,8-Mar,2019,,,,
Spider-Man: Into the Spider-Verse 4K,Sony Pictures,US,March 19 2019,2-Aug,2019,eBay,,,
Spies in Disguise,20th Century Fox,US,March 10 2020,11-Mar,2020,,,,
Split,Universal Studios,US,April 18 2017,25-Nov,2017,Best Buy,,,
Spotlight,Universal Studios,US,February 23 2016,28-Mar,2016,Best Buy,,,
Spy,20th Century Fox,US,September 29 2015,8-Jun,2018,FYE,,,
The Spy Who Dumped Me 4K,Lionsgate Films,US,October 30 2018,22-Nov,2018,Best Buy,,,
A Star Is Born 4K,Warner Bros.,US,February 19 2019,16-Feb,2019,Best Buy,,,
Star Trek Trilogy Collection,Paramount Pictures,US,November 1 2016,27-Nov,2017,Amazon,,,
Star Wars: Episode IX - The Rise of Skywalker 4K,Disney / Buena Vista,US,March 31 2020,18-Mar,2020,,,,
Star Wars: Episode VII - The Force Awakens,Disney / Buena Vista,US,April 5 2016,5-Apr,2016,Best Buy,,,
Star Wars: Episode VIII - The Last Jedi 4K,Disney / Buena Vista,US,March 27 2018,27-Mar,2018,Best Buy,,,
Star Wars: Episodes I-III,20th Century Fox,US,October 8 2013,5-Apr,2016,Best Buy,,,
Star Wars: Episodes IV-VI,20th Century Fox,US,October 8 2013,5-Apr,2016,Best Buy,,,
Step Brothers,Sony Pictures,US,December 2 2008,26-Sep,2016,eBay,,,
Straight Outta Compton,Universal Studios,US,January 19 2016,25-Nov,2017,Best Buy,,,
Stronger,Lionsgate Films,US,December 19 2017,19-Dec,2017,Amazon,,,
Stuber,20th Century Fox,US,October 15 2019,16-Oct,2019,,,,
Suicide Squad 4K,Warner Bros.,US,December 13 2016,13-Dec,2016,Best Buy,,,
Superbad,Sony Pictures,US,December 4 2007,26-Sep,2016,eBay,,,
Superman / Superman II / Superman Returns,Warner Bros.,US,May 15 2012,23-Sep,2016,eBay,,,
Superman: Man of Tomorrow 4K,Warner Bros.,US,September 8 2020,26-Aug,2020,,,,
Superman: Red Son 4K,Warner Bros.,US,March 17 2020,12-Mar,2020,,,,
Swades,UTV,IN,October 26 2010,6-Aug,2020,Amazon,,,
Tag,Warner Bros.,US,August 28 2018,22-Nov,2018,Best Buy,,,
Taken,20th Century Fox,US,December 9 2014,28-Mar,2016,Best Buy,,,
Talladega Nights: The Ballad of Ricky Bobby,Sony Pictures,US,November 17 2006,17-Nov,2006,,,,
Taxi Driver,Sony Pictures,US,November 8 2016,27-Oct,2019,,,,
Ted,Universal Studios,US,December 11 2012,25-Dec,2012,,,,
Ted 2,Universal Studios,US,December 15 2015,25-Nov,2017,Best Buy,,,
Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount Pictures,US,September 20 2016,12-Sep,2016,,,,
The Terminator,Metro-Goldwyn-Mayer,US,May 20 2014,22-Aug,2015,,,,
Terminator 2: Judgment Day,Lionsgate Films,US,May 19 2009,13-Dec,2014,,,,
Terminator 3: Rise of the Machines,Warner Bros.,US,February 26 2008,28-Mar,2016,eBay,,,
Terminator Genisys,Paramount Pictures,US,November 10 2015,10-Nov,2015,Target,,,
Terminator Salvation,Warner Bros.,US,December 1 2009,1-Dec,2009,,,,
Terminator: Dark Fate 4K,Paramount Pictures,US,January 28 2020,7-Jan,2020,,,,
This Is the End,Sony Pictures,US,October 1 2013,1-Oct,2013,,,,
Thor,Paramount Pictures,US,September 13 2011,13-Sep,2011,Best Buy,,,
Thor 4K,Disney / Buena Vista,US,August 13 2019,13-Aug,2019,Best Buy,,,
Thor: Ragnarok 4K,Disney / Buena Vista,US,March 6 2018,5-Mar,2018,Best Buy,,,
Thor: The Dark World,Disney / Buena Vista,US,February 25 2014,25-Feb,2014,Best Buy,,,
Thor: The Dark World 4K,Disney / Buena Vista,US,August 13 2019,13-Aug,2019,Best Buy,,,
Titanic,Paramount Pictures,US,September 10 2012,12-Nov,2018,FYE,,,
Tom Clancy's Jack Ryan: Season One,Paramount Pictures,US,June 4 2019,29-May,2019,,,,
Tom Clancy's Jack Ryan: Season Two,Paramount Pictures,US,August 4 2020,21-Jul,2020,,,,
Tom Cruise Collection,Paramount Pictures,US,November 15 2011,29-Nov,2012,,,,
Tomb Raider 4K,Warner Bros.,US,June 12 2018,22-Nov,2018,Best Buy,,,
Top Gun 4K,Paramount Pictures,US,May 19 2020,7-May,2020,,,,
Total Recall,Sony Pictures,US,December 18 2012,16-Jun,2016,eBay,,,
The Tourist,Sony Pictures,US,March 22 2011,22-Mar,2011,,,,
The Town,Warner Bros.,US,March 6 2012,28-Mar,2016,eBay,,,
Toy Story 2 4K,Disney / Buena Vista,US,June 4 2019,8-Jun,2019,Best Buy,,,
Toy Story 3 4K,Disney / Buena Vista,US,June 4 2019,8-Jun,2019,Best Buy,,,
Toy Story 4 4K,Disney / Buena Vista,US,October 8 2019,7-Oct,2019,,,,
Toy Story 4K,Disney / Buena Vista,US,June 4 2019,8-Jun,2019,Best Buy,,,
Training Day,Warner Bros.,US,August 1 2006,28-Sep,2016,eBay,,,
Transformers,Paramount Pictures,US,September 2 2008,26-Sep,2016,eBay,,,
Transformers: Age of Extinction,Paramount Pictures,US,September 30 2014,2-Oct,2014,,,,
Transformers: Dark of the Moon,Paramount Pictures,US,September 30 2011,30-Sep,2011,,,,
Transformers: Revenge of the Fallen,Paramount Pictures,US,October 20 2009,20-Oct,2009,,,,
Transformers: The Last Knight 4K,Paramount Pictures,US,September 26 2017,25-Sep,2017,Best Buy,,,
Transformers: The Ultimate Five Movie Collection 4K,Paramount Pictures,US,November 6 2018,29-Oct,2019,,,,
Tropic Thunder,DreamWorks,US,November 18 2008,18-Nov,2008,,,,
Troy,Warner Bros.,US,September 18 2007,28-Jun,2018,,,,
True Grit,Paramount Pictures,US,June 7 2011,27-Nov,2017,Amazon,,,
The Truman Show,Warner Bros.,US,January 1 2013,26-Sep,2016,Amazon,,,
Turbo: A Power Rangers Movie,Shout Factory,US,July 30 2019,30-Jul,2019,Amazon,,,
Uncle Drew,Lionsgate Films,US,September 25 2018,25-Sep,2018,Best Buy,,,
Us 4K,Universal Studios,US,June 18 2019,6-Jun,2019,,,,
The Usual Suspects,Metro-Goldwyn-Mayer,US,February 13 2007,29-Nov,2013,,,,
V for Vendetta,Warner Bros.,US,May 20 2008,1-Dec,2017,eBay,,,
Valkyrie,Metro-Goldwyn-Mayer,US,May 19 2009,14-Jun,2013,,,,
The Vampire Diaries: The Complete Series,Warner Bros.,UK,October 23 2017,29-Aug,2019,Amazon,,,
Van Helsing,Universal Studios,US,June 28 2011,22-Aug,2015,,,,
Vanilla Sky,Warner Bros.,US,June 30 2015,15-Aug,2015,,,,
Veer-Zaara,Yash Raj Films,IN,December 14 2009,22-Nov,2013,Amazon,,,
Venom 4K,Sony Pictures,US,December 18 2018,17-Dec,2018,Best Buy,,,
A Very Harold & Kumar Christmas,Warner Bros.,US,February 7 2012,7-Feb,2012,,,,
Walk Hard: The Dewey Cox Story,Sony Pictures,US,April 8 2008,8-Jun,2018,FYE,,,
Wanted,Universal Studios,US,December 2 2008,8-Jun,2018,FYE,,,
War of the Worlds 4K,Paramount Pictures,US,May 19 2020,7-May,2020,,,,
Warrior,Lionsgate Films,US,December 20 2011,27-Aug,2015,Amazon,,,
Watchmen,Warner Bros.,US,July 21 2009,29-Nov,2013,,,,
Watchmen: An HBO Limited Series,Warner Bros.,US,June 2 2020,22-May,2020,,,,
We Bought a Zoo,20th Century Fox,US,April 3 2012,29-May,2016,FYE,,,
Wedding Crashers,New Line Cinema,US,May 10 2011,26-Sep,2016,eBay,,,
Westworld: Season Three 4K,Warner Bros.,US,November 17 2020,9-Nov,2020,,,,
What We Do in the Shadows,Paramount Pictures,US,July 21 2015,1-Dec,2017,eBay,,,
Whiplash,Sony Pictures,US,February 24 2015,26-Nov,2017,Best Buy,,,
Wind River,Lionsgate Films,US,November 14 2017,13-Nov,2017,Best Buy,,,
Winter's Bone,Lionsgate Films,US,October 26 2010,1-Dec,2017,eBay,,,
Without a Paddle,Warner Bros.,US,January 1 2013,10-Oct,2016,eBay,,,
The Wolf of Wall Street,Paramount Pictures,US,March 25 2014,25-Mar,2014,Best Buy,,,
The Wolverine 3D,20th Century Fox,US,December 3 2013,3-Dec,2013,Best Buy,,,
Wonder Woman,Warner Bros.,US,September 19 2017,19-Sep,2017,Target,,,
World War Z,Paramount Pictures,US,September 17 2013,1-Dec,2017,eBay,,,
The World's End / Hot Fuzz / Shaun of the Dead,Universal Studios,US,November 19 2013,27-Nov,2017,Amazon,,,
Wreck-It Ralph 4K,Disney / Buena Vista,US,November 6 2018,18-Nov,2018,Best Buy,,,
The Wrestler,20th Century Fox,US,April 21 2009,1-Dec,2017,eBay,,,
X-Men Origins: Wolverine,20th Century Fox,US,September 15 2009,15-Sep,2009,,,,
X-Men Trilogy,20th Century Fox,US,April 21 2009,10-Nov,2013,Best Buy,,,
X-Men: 3-Film Collection 4K,20th Century Fox,US,September 25 2018,25-Sep,2018,,,,
X-Men: Apocalypse,20th Century Fox,US,October 4 2016,4-Oct,2016,Best Buy,,,
X-Men: Apocalypse 4K,20th Century Fox,US,October 4 2016,12-Oct,2018,eBay,,,
X-Men: Dark Phoenix 4K,20th Century Fox,US,September 17 2019,17-Sep,2019,Best Buy,,,
X-Men: Dark Phoenix 4K,20th Century Fox,US,September 17 2019,13-Sep,2019,,,,
X-Men: Days of Future Past,20th Century Fox,US,July 14 2015,23-Jul,2015,Best Buy,,,
X-Men: Days of Future Past 3D,20th Century Fox,US,October 14 2014,14-Oct,2014,Best Buy,,,
X-Men: First Class,20th Century Fox,US,September 9 2011,29-Nov,2013,,,,
xXx,Sony Pictures,US,June 20 2006,8-Jun,2018,FYE,,,
xXx: Return of Xander Cage 4K,Paramount Pictures,US,May 16 2017,16-May,2017,Best Buy,,,
Yes Man,Warner Bros.,US,April 7 2009,4-Jan,2013,,,,
Zero,,IN,June 7 2019,10-Jun,2019,eBay,,,
Zodiac,Paramount Pictures,US,January 27 2009,4-Jan,2014,,,,
Zombieland,Sony Pictures,US,February 2 2010,26-Aug,2015,,,,
Zombieland: Double Tap 4K,Sony Pictures,US,January 21 2020,20-Jan,2020,,,,
