Title, Studio, Country code, Release date, Date added, Watched, Retailer,,,
Blade Runner 4K,Warner Bros.,US,September 5 2017,30-Jan,2018,Amazon,,,
Blade: Triple Feature,Warner Bros.,US,September 2 2014,30-Nov,2017,Amazon,,,
Born on the Fourth of July,Universal Studios,US,July 3 2012,30-Sep,2015,,,,
The Bourne Trilogy,Universal Studios,US,June 22 2010,21-Apr,2013,,,,
Braveheart 4K,Paramount Pictures,US,June 16 2020,24-Jun,2020,,,,
Bruce Almighty,Universal Studios,US,June 2 2009,26-Sep,2016,eBay,,,
Bumblebee,Paramount Pictures,US,April 2 2019,15-Mar,2019,,,,
Bumblebee / Transformers: 6-Film Collection,Paramount Pictures,US,April 2 2019,29-May,2019,,,,
Bumblebee 4K,Paramount Pictures,US,April 2 2019,19-Mar,2019,,,,
The Butterfly Effect / The Butterfly Effect 2,Warner Bros.,US,March 11 2014,22-Aug,2015,,,,
El Camino: A Breaking Bad Movie,Sony Pictures,US,October 13 2020,17-Nov,2020,,,,
Captain America: Civil War 3D,Disney / Buena Vista,US,September 13 2016,13-Sep,2016,Best Buy,,,
Captain America: Civil War 4K,Disney / Buena Vista,US,April 23 2019,6-May,2019,eBay,,,
Captain America: The First Avenger,Paramount Pictures,US,October 25 2011,25-Oct,2011,Best Buy,,,
Captain America: The First Avenger 4K,Disney / Buena Vista,US,February 26 2019,16-Mar,2019,Best Buy,,,
Captain America: The Winter Soldier 3D,Disney / Buena Vista,US,September 9 2014,9-Sep,2014,Best Buy,,,
Captain America: The Winter Soldier 4K,Disney / Buena Vista,US,April 23 2019,6-May,2019,eBay,,,
Captain Marvel 4K,Disney / Buena Vista,US,June 11 2019,11-Jun,2019,Best Buy,,,
Casino Royale,Metro-Goldwyn-Mayer,US,October 23 2012,8-Jun,2018,FYE,,,
Catch Me If You Can,Paramount Pictures,US,December 4 2012,8-Jun,2018,FYE,,,
Central Intelligence,Warner Bros.,US,September 27 2016,8-Jun,2018,FYE,,,
Chak De! India,Yash Raj Films,IN,December 14 2009,30-Sep,2015,Amazon,,,
Charlie's Angels,Sony Pictures,US,August 3 2010,14-Jun,2013,,,,
Charlie's Angels 4K,Sony Pictures,US,October 22 2019,21-Oct,2019,,,,
Charlie's Angels: Full Throttle,Sony Pictures,US,October 22 2019,21-Oct,2019,,,,
Chef,Universal Studios,US,September 30 2014,19-Sep,2016,eBay,,,
Chennai Express,,US,November 11 2013,12-Nov,2013,Amazon,,,
Chuck: The Complete Fifth and Final Season,Warner Bros.,US,May 8 2012,8-May,2012,,,,
Chuck: The Complete First Season,Warner Bros.,US,November 11 2008,11-Nov,2008,,,,
Chuck: The Complete Fourth Season,Warner Bros.,US,October 11 2011,11-Oct,2011,,,,
Chuck: The Complete Second Season,Warner Bros.,US,January 5 2010,5-Jan,2010,,,,
Chuck: The Complete Third Season,Warner Bros.,US,September 7 2010,7-Sep,2010,,,,
Clueless,Paramount Pictures,US,July 21 2020,10-Jul,2020,,,,
Cocktail,Disney / Buena Vista,US,June 5 2012,2-Dec,2017,eBay,,,
The Color of Money,Disney / Buena Vista,US,June 5 2012,26-Sep,2016,Amazon,,,
Crank,Lionsgate Films,US,January 9 2007,9-Jan,2007,,,,
Crawl,Paramount Pictures,US,October 15 2019,1-Oct,2019,,,,
Creed,Warner Bros.,US,March 1 2016,25-Mar,2016,Amazon,,,
Creed II 4K,Warner Bros.,US,March 5 2019,14-Mar,2019,Best Buy,,,
"Crouching Tiger, Hidden Dragon",Sony Pictures,US,July 27 2010,19-Jul,2013,,,,
The Da Vinci Code,Sony Pictures,US,April 28 2009,27-Aug,2015,,,,
Daredevil,20th Century Fox,US,September 30 2008,14-Oct,2012,Amazon,,,
The Dark Knight,Warner Bros.,US,July 2 2012,2-Jun,2012,Best Buy,,,
The Dark Knight 4K,Warner Bros.,US,December 19 2017,22-Nov,2018,Best Buy,,,
The Dark Knight Rises,Warner Bros.,US,December 4 2012,4-Dec,2012,Best Buy,,,
The Dark Knight Rises 4K,Warner Bros.,US,December 19 2017,22-Nov,2018,Best Buy,,,
Darr,Yash Raj Films,US,August 10 2011,30-Sep,2015,Amazon,,,
Date Night,20th Century Fox,US,August 10 2010,26-Sep,2016,eBay,,,
Days of Thunder 4K,Paramount Pictures,US,May 19 2020,7-May,2020,,,,
Deadpool,20th Century Fox,US,May 10 2016,10-May,2016,Best Buy,,,
Deadpool 2 4K,20th Century Fox,US,August 21 2018,20-Aug,2018,,,,
Deadpool 2 4K,20th Century Fox,US,August 21 2018,18-Aug,2018,Best Buy,,,
Deadpool 4K,20th Century Fox,US,May 10 2016,9-Oct,2018,eBay,,,
Dear Zindagi,Reliance Home Video & Games,IN,February 2 2017,4-Feb,2017,eBay,,,
The Death and Return of Superman: The Complete Film Collection Giftset 4K,Warner Bros.,US,October 1 2019,27-Sep,2019,,,,
Death Race,Universal Studios,US,December 21 2008,26-Sep,2016,eBay,,,
The Departed,Warner Bros.,US,February 13 2007,13-Dec,2007,,,,
The Dictator,Warner Bros.,US,February 19 2013,1-Dec,2017,eBay,,,
Die Hard,20th Century Fox,US,January 29 2013,12-Feb,2013,,,,
Dil To Pagal Hai,Yash Raj Films,IN,May 15 2010,9-Sep,2015,Amazon,,,
Dilwale,Reliance Home Video & Games,IN,March 10 2016,16-Mar,2016,Amazon,,,
Dilwale Dulhania Le Jayenge,Yash Raj Films,IN,December 14 2009,4-Oct,2013,,,,
Dinner for Schmucks,Paramount Pictures,US,January 4 2011,8-Jun,2018,FYE,,,
District 9,Sony Pictures,US,December 22 2009,22-Dec,2009,,,,
Django Unchained,Starz / Anchor Bay,US,May 20 2014,25-Nov,2017,Best Buy,,,
Doctor Strange,Disney / Buena Vista,US,February 28 2017,28-Feb,2017,Best Buy,,,
Dodgeball: A True Underdog Story,20th Century Fox,US,December 9 2008,4-Jan,2013,,,,
Don 2,Reliance Home Video & Games,IN,April 20 2012,25-Sep,2015,,,,
Donnie Brasco,Sony Pictures,US,May 8 2007,30-Nov,2017,eBay,,,
Drive,Sony Pictures,US,January 31 2012,22-Aug,2015,,,,
Due Date,Warner Bros.,US,February 22 2011,26-Sep,2016,eBay,,,
Dumb and Dumber,Warner Bros.,US,December 9 2008,8-Jun,2018,FYE,,,
Eagle Eye,DreamWorks,US,December 27 2008,8-Jun,2018,FYE,,,
Eddie the Eagle,20th Century Fox,US,June 14 2016,25-Nov,2017,Best Buy,,,
Edge of Tomorrow,Warner Bros.,US,October 7 2014,13-Aug,2018,Amazon,,,
Edge of Tomorrow,Warner Bros.,US,October 7 2014,7-Oct,2014,Best Buy,,,
Enemy of the State,Disney / Buena Vista,US,November 21 2006,24-Jul,2019,Amazon,,,
The Equalizer,Sony Pictures,US,December 30 2014,8-Jun,2018,FYE,,,
The Equalizer 2 4K,Sony Pictures,US,December 11 2018,29-Nov,2019,Best Buy,,,
Eyes Wide Shut,Warner Bros.,US,October 23 2007,28-Sep,2016,Amazon,,,
Fan,Yash Raj Films,IN,May 30 2016,5-Jun,2016,Amazon,,,
Fantastic 4,20th Century Fox,US,December 15 2015,8-Jun,2018,FYE,,,
Fantastic 4 Double Feature,20th Century Fox,US,March 8 2016,26-Nov,2017,Best Buy,,,
Fantastic Beasts and Where to Find Them,Warner Bros.,US,March 28 2017,28-Mar,2017,Target,,,
Fantastic Beasts and Where to Find Them 4K,Warner Bros.,US,March 28 2017,9-Oct,2018,eBay,,,
Fantastic Beasts: The Crimes of Grindelwald 4K,Warner Bros.,US,March 12 2019,9-Mar,2019,Best Buy,,,
Far and Away,Universal Studios,US,March 4 2014,2-Dec,2017,eBay,,,
Fast & Furious,Universal Studios,US,April 9 2013,15-Sep,2015,,,,
Fast & Furious 6,Universal Studios,US,December 10 2013,10-Dec,2013,,,,
Fast & Furious Presents: Hobbs & Shaw 4K,Universal Studios,US,November 5 2019,29-Nov,2019,Best Buy,,,
The Fast and the Furious,Universal Studios,US,December 31 1969,29-Nov,2013,,,,
The Fast and the Furious: Tokyo Drift,Universal Studios,US,April 9 2013,15-Sep,2015,,,,
Fast Five,Universal Studios,US,October 4 2011,4-Oct,2011,,,,
The Fate of the Furious 4K,Universal Studios,US,July 11 2017,11-Jul,2017,Best Buy,,,
Fever Pitch,20th Century Fox,US,January 10 2012,7-Dec,2014,Amazon,,,
A Few Good Men,Sony Pictures,US,September 18 2007,4-Jan,2014,,,,
Fight Club,20th Century Fox,US,November 17 2009,17-Nov,2009,,,,
The Fighter,Paramount Pictures,US,March 15 2011,28-Mar,2016,eBay,,,
Firefly: The Complete Series,20th Century Fox,US,September 19 2017,4-Aug,2019,Amazon,,,
The Firm,Paramount Pictures,US,September 11 2012,27-Aug,2015,Amazon,,,
First Man,Universal Studios,US,January 22 2019,7-Jan,2019,,,,
Ford v Ferrari 4K,20th Century Fox,US,February 11 2020,8-Feb,2020,Best Buy,,,
Forgetting Sarah Marshall,Universal Studios,US,September 30 2008,26-Sep,2016,eBay,,,
Forrest Gump,Paramount Pictures,US,November 3 2009,4-Jan,2014,,,,
Forrest Gump 4K,Paramount Pictures,US,May 7 2019,29-May,2019,,,,
Friday,Warner Bros.,US,September 8 2009,22-Aug,2015,,,,
Friends with Benefits,Sony Pictures,US,December 2 2011,28-Nov,2017,Amazon,,,
Furious 7,Universal Studios,US,September 15 2015,15-Sep,2015,Best Buy,,,
Fury,Sony Pictures,US,January 27 2015,27-Sep,2016,eBay,,,
Galaxy Quest,Paramount Pictures,US,September 17 2019,10-Oct,2019,,,,
Game Night,Warner Bros.,US,May 22 2018,22-Nov,2018,Target,,,
Game of Thrones: The Complete Collection 4K,HBO,US,November 3 2020,1-Nov,2020,,,,
Game of Thrones: The Complete Series,HBO,US,December 3 2019,29-Nov,2019,,,,
Gandhi,Sony Pictures,US,February 17 2009,5-Oct,2012,,,,
Gemini Man 4K,Paramount Pictures,US,January 14 2020,6-Jan,2020,,,,
The Gentlemen 4K,Universal Studios,US,April 21 2020,21-Apr,2020,,,,
George of the Jungle,Disney / Buena Vista,US,August 13 2019,4-Nov,2020,eBay,,,
Get Him to the Greek,Universal Studios,US,September 28 2010,8-Jun,2018,FYE,,,
Get Out,Universal Studios,US,May 23 2017,25-Nov,2017,Best Buy,,,
Get Smart,Warner Bros.,US,November 4 2008,19-Sep,2017,Best Buy,,,
Ghost Rider / Hellboy,Sony Pictures,US,July 3 2016,2-Dec,2017,eBay,,,
Ghostbusters,Sony Pictures,US,September 16 2014,13-Dec,2014,,,,
Gifted,20th Century Fox,US,July 25 2017,15-Nov,2018,Best Buy,,,
The Girl Next Door,20th Century Fox,US,September 1 2009,8-Jun,2018,FYE,,,
Gladiator,Paramount Pictures,US,January 24 2017,8-Jun,2018,FYE,,,
Gladiator 4K,Paramount Pictures,US,June 16 2020,12-Jun,2020,,,,
Glass 4K,Universal Studios,US,April 16 2019,8-Apr,2019,,,,
The Godfather Trilogy,Paramount Pictures,US,June 11 2019,6-Jun,2019,,,,
The Godfather Trilogy,Paramount Pictures,US,November 7 2017,28-Nov,2017,Amazon,,,
Godzilla,Warner Bros.,US,September 16 2014,30-Nov,2017,,,,
Godzilla: King of the Monsters 4K,Warner Bros.,US,August 27 2019,26-Aug,2019,Best Buy,,,
Gone Baby Gone,Disney / Buena Vista,US,February 12 2008,28-Mar,2016,eBay,,,
Gone Girl,20th Century Fox,US,January 13 2015,13-Jan,2015,,,,
Good Boys,Universal Studios,US,November 12 2019,29-Oct,2019,,,,
Good Will Hunting,Lionsgate Films,US,August 21 2012,12-Oct,2012,,,,
Gravity,Warner Bros.,US,February 25 2014,25-Feb,2014,,,,
Green Lantern,Warner Bros.,US,May 22 2012,26-Sep,2016,eBay,,,
Guardians of the Galaxy 3D,Disney / Buena Vista,US,December 9 2014,13-Dec,2014,Best Buy,,,
Guardians of the Galaxy Vol. 2 4K + 3D,Disney / Buena Vista,US,August 22 2017,21-Aug,2017,Best Buy,,,
The Guest,Universal Studios,US,January 6 2015,30-Nov,2017,Amazon,,,
Hacksaw Ridge,Lionsgate Films,US,February 21 2017,25-Nov,2017,Best Buy,,,
Halloween,Universal Studios,US,January 15 2019,14-Jan,2019,,,,
Hancock,Sony Pictures,US,November 25 2008,8-Jun,2018,FYE,,,
The Hangover,Warner Bros.,US,December 15 2009,15-Dec,2009,,,,
The Hangover Part II,Warner Bros.,US,December 6 2011,29-Nov,2013,,,,
The Hangover Part III,Warner Bros.,US,October 8 2013,29-Nov,2013,,,,
Happy Death Day,Universal Studios,US,January 16 2018,22-Nov,2018,Best Buy,,,
Happy Endings: The Complete Series,Mill Creek Entertainment,US,August 7 2018,6-Aug,2018,Best Buy,,,
Happy Gilmore,Universal Studios,US,June 7 2011,22-Aug,2015,,,,
Happy New Year,T- Series,IN,March 6 2015,18-Mar,2015,,,,
Harold & Kumar Escape from Guantanamo Bay,New Line Cinema,US,May 11 2010,11-May,2010,,,,
Harold & Kumar Go to White Castle,New Line Cinema,US,July 29 2008,28-Sep,2015,,,,
Harry Potter and the Deathly Hallows: Part 1,Warner Bros.,US,April 15 2011,15-Apr,2011,,,,
Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,US,November 11 2011,11-Nov,2011,,,,
Harry Potter Hogwarts Collection,Warner Bros.,US,February 25 2014,25-Nov,2016,Amazon,,,
Harry Potter: Years 1 & 2,Warner Bros.,US,October 16 2012,5-Jan,2015,,,,
Harry Potter: Years 3 & 4,Warner Bros.,US,October 16 2012,5-Jan,2015,,,,
Harry Potter: Years 5 & 6,Warner Bros.,US,October 16 2012,5-Jan,2015,,,,
The Hateful Eight,Starz / Anchor Bay,US,March 29 2016,5-Dec,2017,Best Buy,,,
The Heat,20th Century Fox,US,May 3 2016,8-Jun,2018,FYE,,,
